Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas66            Pavarde66           3         9         6         5         10        3
Vardas67            Pavarde67           3         1         0         10        2         10
Vardas68            Pavarde68           0         8         7         4         10        2
Vardas69            Pavarde69           10        1         9         7         10        5
Vardas70            Pavarde70           1         5         8         4         4         8
Vardas71            Pavarde71           4         0         3         0         4         9
Vardas72            Pavarde72           10        1         2         5         2         3
Vardas73            Pavarde73           10        8         9         4         0         10
Vardas74            Pavarde74           6         5         5         2         8         1
Vardas75            Pavarde75           6         4         5         9         8         3
Vardas76            Pavarde76           4         4         0         7         8         0
Vardas77            Pavarde77           5         3         2         3         2         8
Vardas78            Pavarde78           6         9         9         10        8         7
Vardas79            Pavarde79           1         2         4         0         10        6
Vardas80            Pavarde80           7         9         0         4         10        7
Vardas81            Pavarde81           2         5         9         1         5         3
Vardas82            Pavarde82           4         1         9         2         3         1
Vardas83            Pavarde83           9         0         1         1         8         3
Vardas84            Pavarde84           5         9         5         6         8         2
Vardas85            Pavarde85           7         0         5         0         9         7
Vardas86            Pavarde86           2         10        9         6         4         10
Vardas87            Pavarde87           2         7         6         5         1         3
Vardas88            Pavarde88           4         1         10        1         4         5
Vardas89            Pavarde89           0         9         4         10        0         5
Vardas90            Pavarde90           10        6         9         10        9         9
Vardas91            Pavarde91           10        6         7         7         2         0
Vardas92            Pavarde92           7         5         1         2         8         0
Vardas93            Pavarde93           0         9         5         6         10        9
Vardas94            Pavarde94           2         10        5         6         4         4
Vardas95            Pavarde95           5         1         7         8         3         1
Vardas96            Pavarde96           8         10        2         7         8         0
Vardas97            Pavarde97           1         7         9         1         5         5
Vardas98            Pavarde98           5         6         10        7         3         1
Vardas99            Pavarde99           3         2         9         2         9         10
Vardas100           Pavarde100          7         6         5         3         8         2
Vardas101           Pavarde101          6         3         4         10        4         0
Vardas102           Pavarde102          6         1         7         7         0         1
Vardas103           Pavarde103          8         7         2         4         8         3
Vardas104           Pavarde104          0         0         6         6         3         10
Vardas105           Pavarde105          1         7         7         1         1         6
Vardas106           Pavarde106          1         7         3         3         7         8
Vardas107           Pavarde107          10        8         1         5         9         4
Vardas108           Pavarde108          4         6         2         7         3         4
Vardas109           Pavarde109          9         8         7         1         7         8
Vardas110           Pavarde110          8         3         5         8         1         7
Vardas111           Pavarde111          5         8         9         9         5         7
Vardas112           Pavarde112          3         10        8         3         5         3
Vardas113           Pavarde113          7         10        9         9         3         6
Vardas114           Pavarde114          9         10        0         1         10        3
Vardas115           Pavarde115          9         5         8         3         7         6
Vardas116           Pavarde116          1         6         5         4         5         10
Vardas117           Pavarde117          4         8         7         5         7         9
Vardas118           Pavarde118          5         2         10        9         7         4
Vardas119           Pavarde119          0         5         10        3         7         1
Vardas120           Pavarde120          8         2         10        3         0         5
Vardas121           Pavarde121          1         8         7         4         3         3
Vardas122           Pavarde122          2         7         2         1         7         6
Vardas123           Pavarde123          2         0         10        5         4         0
Vardas124           Pavarde124          3         0         3         10        0         10
Vardas125           Pavarde125          1         4         8         6         6         9
Vardas126           Pavarde126          7         9         8         4         10        2
Vardas127           Pavarde127          7         10        8         2         0         9
Vardas128           Pavarde128          4         0         2         9         6         10
Vardas129           Pavarde129          10        10        10        0         5         7
Vardas130           Pavarde130          10        8         4         6         9         8
Vardas131           Pavarde131          3         10        9         6         1         5
Vardas132           Pavarde132          0         6         4         0         7         1
Vardas133           Pavarde133          5         9         6         4         1         4
Vardas134           Pavarde134          10        5         2         2         8         3
Vardas135           Pavarde135          3         4         5         6         8         5
Vardas136           Pavarde136          5         0         8         3         1         6
Vardas137           Pavarde137          4         3         0         8         5         5
Vardas138           Pavarde138          1         0         10        2         8         10
Vardas139           Pavarde139          0         1         6         5         5         3
Vardas140           Pavarde140          0         5         7         8         9         3
Vardas141           Pavarde141          2         10        1         2         6         8
Vardas142           Pavarde142          1         5         9         8         1         0
Vardas143           Pavarde143          10        2         4         4         7         9
Vardas144           Pavarde144          5         6         8         0         7         9
Vardas145           Pavarde145          4         2         6         1         7         5
Vardas146           Pavarde146          8         7         1         0         5         10
Vardas147           Pavarde147          5         4         7         2         0         7
Vardas148           Pavarde148          5         0         1         2         9         6
Vardas149           Pavarde149          5         7         2         3         6         4
Vardas150           Pavarde150          6         6         8         4         0         7
Vardas151           Pavarde151          3         2         7         7         7         2
Vardas152           Pavarde152          3         2         8         7         1         9
Vardas153           Pavarde153          5         8         3         1         9         4
Vardas154           Pavarde154          4         5         9         7         9         6
Vardas155           Pavarde155          7         6         4         0         10        8
Vardas156           Pavarde156          2         3         5         0         3         5
Vardas157           Pavarde157          1         1         2         7         7         9
Vardas158           Pavarde158          2         9         7         0         5         10
Vardas159           Pavarde159          2         4         9         8         10        5
Vardas160           Pavarde160          5         4         6         0         7         2
Vardas161           Pavarde161          0         5         3         5         2         7
Vardas162           Pavarde162          3         5         8         6         9         8
Vardas163           Pavarde163          2         3         2         1         5         10
Vardas164           Pavarde164          2         3         10        7         6         6
Vardas165           Pavarde165          3         6         2         3         9         7
Vardas166           Pavarde166          2         5         3         5         3         9
Vardas167           Pavarde167          1         6         5         3         3         9
Vardas168           Pavarde168          6         3         1         6         5         2
Vardas169           Pavarde169          8         5         1         7         7         4
Vardas170           Pavarde170          10        1         10        4         0         5
Vardas171           Pavarde171          2         3         7         0         5         2
Vardas172           Pavarde172          1         3         10        1         7         5
Vardas173           Pavarde173          4         9         5         8         3         6
Vardas174           Pavarde174          10        1         1         6         1         3
Vardas175           Pavarde175          8         9         8         7         7         0
Vardas176           Pavarde176          4         1         1         1         6         8
Vardas177           Pavarde177          2         7         3         2         4         5
Vardas178           Pavarde178          3         6         10        2         0         10
Vardas179           Pavarde179          2         9         1         2         1         1
Vardas180           Pavarde180          5         9         6         3         1         7
Vardas181           Pavarde181          2         2         3         9         7         3
Vardas182           Pavarde182          8         6         0         5         5         5
Vardas183           Pavarde183          0         2         6         9         0         10
Vardas184           Pavarde184          4         9         10        4         9         4
Vardas185           Pavarde185          10        5         0         3         8         8
Vardas186           Pavarde186          5         2         3         4         6         2
Vardas187           Pavarde187          7         3         8         8         4         2
Vardas188           Pavarde188          0         7         5         9         2         5
Vardas189           Pavarde189          2         10        2         5         0         8
Vardas190           Pavarde190          10        10        9         1         8         3
Vardas191           Pavarde191          9         4         4         6         8         10
Vardas192           Pavarde192          6         6         0         1         6         0
Vardas193           Pavarde193          1         1         0         10        2         9
Vardas194           Pavarde194          9         9         8         1         6         10
Vardas195           Pavarde195          0         0         9         9         10        6
Vardas196           Pavarde196          6         1         3         0         3         0
Vardas197           Pavarde197          3         9         9         2         5         1
Vardas198           Pavarde198          10        10        6         8         4         9
Vardas199           Pavarde199          9         1         6         7         10        2
Vardas200           Pavarde200          8         7         6         7         5         3
Vardas201           Pavarde201          1         7         8         4         4         3
Vardas202           Pavarde202          3         3         4         7         9         5
Vardas203           Pavarde203          9         4         7         8         9         3
Vardas204           Pavarde204          4         3         6         8         7         2
Vardas205           Pavarde205          10        4         2         0         0         0
Vardas206           Pavarde206          2         2         3         2         0         4
Vardas207           Pavarde207          6         5         3         5         9         8
Vardas208           Pavarde208          1         10        3         3         9         6
Vardas209           Pavarde209          0         0         5         0         1         3
Vardas210           Pavarde210          1         4         4         6         10        7
Vardas211           Pavarde211          2         3         4         4         3         4
Vardas212           Pavarde212          10        5         5         8         10        9
Vardas213           Pavarde213          8         3         6         5         3         0
Vardas214           Pavarde214          5         7         2         10        7         1
Vardas215           Pavarde215          7         3         1         8         3         3
Vardas216           Pavarde216          0         1         7         7         5         9
Vardas217           Pavarde217          5         7         5         2         1         7
Vardas218           Pavarde218          6         10        2         7         0         5
Vardas219           Pavarde219          9         4         4         6         10        2
Vardas220           Pavarde220          4         1         9         0         8         0
Vardas221           Pavarde221          4         9         3         2         5         2
Vardas222           Pavarde222          9         5         4         10        2         10
Vardas223           Pavarde223          7         9         9         8         1         8
Vardas224           Pavarde224          3         10        7         8         0         7
Vardas225           Pavarde225          4         3         8         6         5         0
Vardas226           Pavarde226          8         10        7         9         0         3
Vardas227           Pavarde227          3         5         4         2         10        1
Vardas228           Pavarde228          10        8         2         9         1         9
Vardas229           Pavarde229          4         0         9         6         8         6
Vardas230           Pavarde230          7         3         4         7         5         10
Vardas231           Pavarde231          0         9         7         7         2         5
Vardas232           Pavarde232          3         2         6         7         0         7
Vardas233           Pavarde233          0         0         5         2         8         3
Vardas234           Pavarde234          9         0         2         1         2         8
Vardas235           Pavarde235          5         5         8         0         6         10
Vardas236           Pavarde236          4         7         2         7         4         7
Vardas237           Pavarde237          3         9         0         4         5         0
Vardas238           Pavarde238          0         2         1         7         3         5
Vardas239           Pavarde239          7         1         6         6         1         2
Vardas240           Pavarde240          7         8         3         5         7         2
Vardas241           Pavarde241          8         8         2         6         9         8
Vardas242           Pavarde242          1         4         7         5         7         8
Vardas243           Pavarde243          6         6         7         7         1         10
Vardas244           Pavarde244          10        6         0         3         0         8
Vardas245           Pavarde245          2         1         3         2         6         7
Vardas246           Pavarde246          4         2         5         5         7         9
Vardas247           Pavarde247          1         0         2         10        7         9
Vardas248           Pavarde248          0         4         5         5         0         8
Vardas249           Pavarde249          6         9         0         10        10        6
Vardas250           Pavarde250          2         8         6         6         9         0
Vardas251           Pavarde251          4         0         10        3         7         6
Vardas252           Pavarde252          0         8         9         6         2         3
Vardas253           Pavarde253          2         3         8         9         4         8
Vardas254           Pavarde254          2         8         10        9         10        10
Vardas255           Pavarde255          5         10        9         9         6         0
Vardas256           Pavarde256          9         6         2         10        3         0
Vardas257           Pavarde257          8         3         0         4         1         2
Vardas258           Pavarde258          8         7         3         0         7         9
Vardas259           Pavarde259          3         9         10        6         5         9
Vardas260           Pavarde260          4         6         5         5         5         1
Vardas261           Pavarde261          1         6         1         1         7         0
Vardas262           Pavarde262          1         4         2         3         2         3
Vardas263           Pavarde263          4         10        10        10        9         2
Vardas264           Pavarde264          4         6         0         5         0         3
Vardas265           Pavarde265          1         10        1         7         6         2
Vardas266           Pavarde266          7         0         5         10        4         0
Vardas267           Pavarde267          2         9         5         10        6         9
Vardas268           Pavarde268          6         8         4         0         0         5
Vardas269           Pavarde269          10        4         6         1         4         3
Vardas270           Pavarde270          2         8         7         8         2         8
Vardas271           Pavarde271          0         4         1         2         2         4
Vardas272           Pavarde272          8         1         4         2         0         6
Vardas273           Pavarde273          0         8         6         9         5         5
Vardas274           Pavarde274          10        4         5         8         4         2
Vardas275           Pavarde275          1         6         0         8         6         10
Vardas276           Pavarde276          2         6         5         5         10        3
Vardas277           Pavarde277          9         1         7         5         6         7
Vardas278           Pavarde278          7         0         8         3         2         1
Vardas279           Pavarde279          10        4         5         8         2         9
Vardas280           Pavarde280          7         7         2         1         7         10
Vardas281           Pavarde281          6         6         1         10        6         8
Vardas282           Pavarde282          1         2         8         7         9         1
Vardas283           Pavarde283          5         0         0         1         7         2
Vardas284           Pavarde284          4         7         2         1         3         8
Vardas285           Pavarde285          5         2         3         6         10        7
Vardas286           Pavarde286          1         6         8         5         4         9
Vardas287           Pavarde287          10        1         5         3         4         2
Vardas288           Pavarde288          7         5         1         6         10        1
Vardas289           Pavarde289          3         4         6         4         10        9
Vardas290           Pavarde290          8         2         3         0         10        5
Vardas291           Pavarde291          0         8         0         3         2         9
Vardas292           Pavarde292          4         4         2         0         8         5
Vardas293           Pavarde293          7         1         5         9         10        9
Vardas294           Pavarde294          0         3         6         3         8         2
Vardas295           Pavarde295          5         0         8         0         10        1
Vardas296           Pavarde296          6         2         8         2         5         6
Vardas297           Pavarde297          5         4         3         0         6         4
Vardas298           Pavarde298          10        4         1         6         3         3
Vardas299           Pavarde299          10        8         0         1         7         9
Vardas300           Pavarde300          0         0         6         2         0         5
Vardas301           Pavarde301          5         4         3         7         5         8
Vardas302           Pavarde302          0         9         5         4         6         7
Vardas303           Pavarde303          4         8         5         8         8         0
Vardas304           Pavarde304          2         3         2         6         7         4
Vardas305           Pavarde305          4         10        1         7         10        1
Vardas306           Pavarde306          8         1         1         10        1         0
Vardas307           Pavarde307          8         6         5         6         7         5
Vardas308           Pavarde308          1         0         10        8         2         2
Vardas309           Pavarde309          8         6         3         3         1         0
Vardas310           Pavarde310          1         9         7         4         6         5
Vardas311           Pavarde311          2         9         2         7         6         3
Vardas312           Pavarde312          7         1         5         7         7         1
Vardas313           Pavarde313          5         7         2         9         3         8
Vardas314           Pavarde314          3         8         1         8         7         9
Vardas315           Pavarde315          5         4         7         10        4         2
Vardas316           Pavarde316          0         2         3         5         3         1
Vardas317           Pavarde317          8         8         0         9         3         9
Vardas318           Pavarde318          7         5         10        8         7         4
Vardas319           Pavarde319          6         7         4         0         7         7
Vardas320           Pavarde320          8         3         0         6         4         10
Vardas321           Pavarde321          3         2         3         2         7         9
Vardas322           Pavarde322          5         5         5         8         0         9
Vardas323           Pavarde323          4         3         9         0         3         8
Vardas324           Pavarde324          10        10        9         1         8         3
Vardas325           Pavarde325          8         7         0         9         4         4
Vardas326           Pavarde326          1         2         10        0         4         6
Vardas327           Pavarde327          8         6         5         7         10        10
Vardas328           Pavarde328          9         5         8         4         8         4
Vardas329           Pavarde329          8         3         3         7         8         7
Vardas330           Pavarde330          7         7         1         4         6         2
Vardas331           Pavarde331          6         6         6         9         1         4
Vardas332           Pavarde332          10        2         5         1         4         0
Vardas333           Pavarde333          2         7         6         7         9         5
Vardas334           Pavarde334          9         6         2         2         7         1
Vardas335           Pavarde335          9         4         9         1         4         0
Vardas336           Pavarde336          5         9         7         7         4         10
Vardas337           Pavarde337          7         3         2         5         2         0
Vardas338           Pavarde338          3         7         1         9         6         0
Vardas339           Pavarde339          1         9         10        3         8         6
Vardas340           Pavarde340          7         7         10        0         5         6
Vardas341           Pavarde341          1         3         10        10        6         0
Vardas342           Pavarde342          7         4         10        3         10        8
Vardas343           Pavarde343          5         6         10        8         6         5
Vardas344           Pavarde344          3         0         0         8         5         7
Vardas345           Pavarde345          3         10        10        6         10        9
Vardas346           Pavarde346          3         4         0         2         3         3
Vardas347           Pavarde347          2         4         5         8         3         3
Vardas348           Pavarde348          5         4         1         8         4         2
Vardas349           Pavarde349          4         5         0         0         1         3
Vardas350           Pavarde350          7         6         4         2         10        8
Vardas351           Pavarde351          6         5         9         6         4         0
Vardas352           Pavarde352          7         10        1         7         9         2
Vardas353           Pavarde353          8         10        10        1         4         8
Vardas354           Pavarde354          7         4         8         8         2         3
Vardas355           Pavarde355          1         4         1         0         6         0
Vardas356           Pavarde356          9         2         5         10        1         1
Vardas357           Pavarde357          2         10        9         4         2         4
Vardas358           Pavarde358          1         5         2         1         0         7
Vardas359           Pavarde359          0         3         5         8         5         9
Vardas360           Pavarde360          6         0         7         6         2         6
Vardas361           Pavarde361          4         0         5         2         9         7
Vardas362           Pavarde362          6         6         9         10        6         8
Vardas363           Pavarde363          8         9         2         7         5         4
Vardas364           Pavarde364          0         5         1         5         7         2
Vardas365           Pavarde365          10        9         4         7         6         0
Vardas366           Pavarde366          4         1         7         8         9         4
Vardas367           Pavarde367          6         1         1         3         8         1
Vardas368           Pavarde368          4         4         4         5         5         7
Vardas369           Pavarde369          0         4         1         9         5         2
Vardas370           Pavarde370          1         1         3         10        1         9
Vardas371           Pavarde371          6         10        3         6         0         10
Vardas372           Pavarde372          3         5         0         4         7         5
Vardas373           Pavarde373          6         1         5         3         2         10
Vardas374           Pavarde374          3         2         9         5         10        6
Vardas375           Pavarde375          5         10        8         7         1         5
Vardas376           Pavarde376          10        0         3         4         10        2
Vardas377           Pavarde377          1         6         10        7         8         4
Vardas378           Pavarde378          1         2         3         3         1         2
Vardas379           Pavarde379          1         7         3         6         7         2
Vardas380           Pavarde380          3         0         9         6         1         8
Vardas381           Pavarde381          7         8         3         6         1         1
Vardas382           Pavarde382          6         5         2         7         5         4
Vardas383           Pavarde383          9         7         7         10        0         10
Vardas384           Pavarde384          8         1         0         5         8         7
Vardas385           Pavarde385          2         0         1         5         9         9
Vardas386           Pavarde386          7         2         10        6         1         0
Vardas387           Pavarde387          9         6         10        0         0         5
Vardas388           Pavarde388          4         0         2         3         6         8
Vardas389           Pavarde389          6         3         7         0         6         7
Vardas390           Pavarde390          6         4         4         3         7         3
Vardas391           Pavarde391          0         0         1         9         9         1
Vardas392           Pavarde392          3         1         0         8         10        9
Vardas393           Pavarde393          7         3         8         8         6         8
Vardas394           Pavarde394          8         3         1         1         4         7
Vardas395           Pavarde395          7         8         10        6         4         6
Vardas396           Pavarde396          2         0         3         6         6         4
Vardas397           Pavarde397          1         1         10        0         6         4
Vardas398           Pavarde398          0         9         9         6         3         9
Vardas399           Pavarde399          10        3         0         6         3         6
Vardas400           Pavarde400          6         10        2         10        1         6
Vardas401           Pavarde401          0         8         5         8         5         0
Vardas402           Pavarde402          7         4         6         2         2         9
Vardas403           Pavarde403          2         3         6         1         10        8
Vardas404           Pavarde404          1         10        3         5         10        0
Vardas405           Pavarde405          9         8         6         2         8         9
Vardas406           Pavarde406          8         0         0         8         6         5
Vardas407           Pavarde407          4         8         5         8         1         5
Vardas408           Pavarde408          10        7         0         4         10        2
Vardas409           Pavarde409          6         2         1         9         6         10
Vardas410           Pavarde410          6         6         2         2         1         4
Vardas411           Pavarde411          7         8         4         3         3         2
Vardas412           Pavarde412          2         6         0         3         2         0
Vardas413           Pavarde413          5         5         1         4         6         2
Vardas414           Pavarde414          3         10        7         1         0         3
Vardas415           Pavarde415          9         1         0         6         0         4
Vardas416           Pavarde416          10        5         6         9         5         4
Vardas417           Pavarde417          3         3         9         2         6         4
Vardas418           Pavarde418          3         2         8         1         4         10
Vardas419           Pavarde419          1         3         1         2         10        9
Vardas420           Pavarde420          4         2         1         9         4         10
Vardas421           Pavarde421          10        10        6         9         6         1
Vardas422           Pavarde422          3         2         8         9         5         0
Vardas423           Pavarde423          6         1         6         1         4         8
Vardas424           Pavarde424          4         2         5         1         7         7
Vardas425           Pavarde425          10        0         7         4         6         6
Vardas426           Pavarde426          2         7         8         0         4         2
Vardas427           Pavarde427          7         8         6         0         6         6
Vardas428           Pavarde428          7         0         8         2         8         8
Vardas429           Pavarde429          9         8         5         0         2         2
Vardas430           Pavarde430          5         1         0         7         6         2
Vardas431           Pavarde431          9         7         1         9         4         6
Vardas432           Pavarde432          7         6         10        10        8         6
Vardas433           Pavarde433          3         10        10        5         1         7
Vardas434           Pavarde434          10        3         8         1         0         1
Vardas435           Pavarde435          8         2         3         6         7         0
Vardas436           Pavarde436          1         4         1         6         3         8
Vardas437           Pavarde437          3         6         6         10        1         5
Vardas438           Pavarde438          3         6         2         10        9         10
Vardas439           Pavarde439          10        6         6         9         5         3
Vardas440           Pavarde440          9         6         7         3         5         6
Vardas441           Pavarde441          7         6         3         8         3         2
Vardas442           Pavarde442          9         8         1         3         6         6
Vardas443           Pavarde443          0         1         7         1         10        8
Vardas444           Pavarde444          3         3         9         9         4         9
Vardas445           Pavarde445          10        10        5         7         4         10
Vardas446           Pavarde446          0         5         1         0         9         4
Vardas447           Pavarde447          10        10        0         2         7         6
Vardas448           Pavarde448          2         4         9         5         1         1
Vardas449           Pavarde449          3         1         6         5         1         0
Vardas450           Pavarde450          3         9         10        4         1         2
Vardas451           Pavarde451          5         10        5         4         10        2
Vardas452           Pavarde452          5         2         5         5         3         3
Vardas453           Pavarde453          7         0         1         2         0         9
Vardas454           Pavarde454          4         8         2         2         7         8
Vardas455           Pavarde455          4         0         8         7         6         7
Vardas456           Pavarde456          10        7         9         7         7         1
Vardas457           Pavarde457          9         0         7         1         4         7
Vardas458           Pavarde458          1         7         9         8         6         3
Vardas459           Pavarde459          1         2         3         2         0         4
Vardas460           Pavarde460          3         4         3         7         8         0
Vardas461           Pavarde461          10        4         8         3         5         0
Vardas462           Pavarde462          0         10        4         8         10        4
Vardas463           Pavarde463          5         5         0         1         5         9
Vardas464           Pavarde464          9         3         3         9         0         6
Vardas465           Pavarde465          6         1         6         1         6         2
Vardas466           Pavarde466          6         5         10        3         1         4
Vardas467           Pavarde467          9         7         0         2         6         7
Vardas468           Pavarde468          2         8         7         6         7         6
Vardas469           Pavarde469          5         9         6         1         9         0
Vardas470           Pavarde470          6         7         6         4         1         6
Vardas471           Pavarde471          2         2         2         7         1         8
Vardas472           Pavarde472          0         2         1         10        1         6
Vardas473           Pavarde473          5         7         7         9         8         7
Vardas474           Pavarde474          4         8         4         1         5         3
Vardas475           Pavarde475          10        10        9         4         0         0
Vardas476           Pavarde476          4         5         2         9         4         1
Vardas477           Pavarde477          9         10        1         1         2         3
Vardas478           Pavarde478          0         10        6         5         9         8
Vardas479           Pavarde479          0         8         5         4         9         4
Vardas480           Pavarde480          3         5         2         3         4         7
Vardas481           Pavarde481          5         9         0         1         4         9
Vardas482           Pavarde482          1         9         6         9         10        2
Vardas483           Pavarde483          1         6         7         6         3         0
Vardas484           Pavarde484          0         5         7         1         1         1
Vardas485           Pavarde485          3         7         2         0         3         0
Vardas486           Pavarde486          0         10        8         4         8         0
Vardas487           Pavarde487          7         10        1         4         1         2
Vardas488           Pavarde488          9         5         9         6         8         6
