Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas54            Pavarde54           0         5         3         7         2         2
Vardas55            Pavarde55           1         5         2         3         5         6
Vardas56            Pavarde56           2         3         1         4         6         8
Vardas57            Pavarde57           2         1         5         9         10        8
Vardas58            Pavarde58           5         6         3         7         3         3
Vardas59            Pavarde59           6         1         1         4         8         3
Vardas60            Pavarde60           0         2         4         4         10        3
Vardas61            Pavarde61           4         2         1         2         4         10
Vardas62            Pavarde62           5         7         4         10        10        10
Vardas63            Pavarde63           5         2         9         1         8         0
Vardas64            Pavarde64           3         3         9         6         1         0
Vardas65            Pavarde65           1         7         3         0         6         2
Vardas66            Pavarde66           8         0         5         4         3         5
Vardas67            Pavarde67           5         4         0         3         9         10
Vardas68            Pavarde68           8         0         5         2         5         5
Vardas69            Pavarde69           9         3         7         1         0         5
Vardas70            Pavarde70           9         7         8         5         2         5
Vardas71            Pavarde71           2         8         3         8         4         1
Vardas72            Pavarde72           2         8         2         4         6         8
Vardas73            Pavarde73           3         2         4         10        1         2
Vardas74            Pavarde74           4         8         8         7         2         6
Vardas75            Pavarde75           2         8         1         9         0         8
Vardas76            Pavarde76           7         3         5         7         10        8
Vardas77            Pavarde77           7         6         0         9         1         2
Vardas78            Pavarde78           2         10        10        7         8         0
Vardas79            Pavarde79           9         8         5         6         2         7
Vardas80            Pavarde80           6         6         10        6         7         2
Vardas81            Pavarde81           0         3         9         5         3         5
Vardas82            Pavarde82           4         0         0         7         2         0
Vardas83            Pavarde83           2         0         1         9         3         8
Vardas84            Pavarde84           3         4         4         8         1         8
Vardas85            Pavarde85           3         6         10        0         7         9
Vardas86            Pavarde86           5         9         4         0         1         2
Vardas87            Pavarde87           10        2         5         3         5         9
Vardas88            Pavarde88           9         5         9         6         5         4
Vardas89            Pavarde89           0         5         10        5         3         1
Vardas90            Pavarde90           2         6         3         0         10        2
Vardas91            Pavarde91           5         8         7         4         4         9
Vardas92            Pavarde92           9         5         4         5         8         9
Vardas93            Pavarde93           5         1         5         8         9         2
Vardas94            Pavarde94           6         9         1         0         4         2
Vardas95            Pavarde95           1         4         1         1         8         1
Vardas96            Pavarde96           6         6         3         0         7         5
Vardas97            Pavarde97           2         6         5         3         6         7
Vardas98            Pavarde98           2         6         7         8         9         1
Vardas99            Pavarde99           4         7         3         2         10        7
Vardas100           Pavarde100          4         2         10        7         1         9
Vardas101           Pavarde101          2         10        7         2         6         2
Vardas102           Pavarde102          6         3         0         6         1         0
Vardas103           Pavarde103          3         4         2         5         7         7
Vardas104           Pavarde104          9         0         6         4         7         4
Vardas105           Pavarde105          1         8         10        6         3         9
Vardas106           Pavarde106          2         4         10        6         2         6
Vardas107           Pavarde107          2         10        8         2         7         5
Vardas108           Pavarde108          4         4         4         1         8         9
Vardas109           Pavarde109          7         0         10        10        9         9
Vardas110           Pavarde110          10        7         5         0         7         5
Vardas111           Pavarde111          1         5         2         2         10        2
Vardas112           Pavarde112          7         8         4         4         3         2
Vardas113           Pavarde113          0         0         2         7         1         6
Vardas114           Pavarde114          8         5         5         1         10        5
Vardas115           Pavarde115          6         0         1         9         8         9
Vardas116           Pavarde116          10        8         10        2         10        5
Vardas117           Pavarde117          1         5         4         0         9         6
Vardas118           Pavarde118          7         8         3         8         4         4
Vardas119           Pavarde119          6         4         2         8         5         6
Vardas120           Pavarde120          8         5         0         6         2         0
Vardas121           Pavarde121          9         10        4         4         9         4
Vardas122           Pavarde122          3         6         5         1         0         7
Vardas123           Pavarde123          5         8         4         1         9         1
Vardas124           Pavarde124          2         7         6         8         4         5
Vardas125           Pavarde125          2         10        4         8         9         7
Vardas126           Pavarde126          0         2         9         0         2         1
Vardas127           Pavarde127          5         10        10        9         9         7
Vardas128           Pavarde128          10        7         2         10        10        7
Vardas129           Pavarde129          8         6         10        9         8         3
Vardas130           Pavarde130          10        5         0         8         8         2
Vardas131           Pavarde131          8         10        0         1         6         10
Vardas132           Pavarde132          10        4         5         8         4         8
Vardas133           Pavarde133          9         1         7         8         9         9
Vardas134           Pavarde134          4         7         8         7         3         4
Vardas135           Pavarde135          7         0         10        7         3         10
Vardas136           Pavarde136          2         8         10        6         9         10
Vardas137           Pavarde137          7         2         8         6         6         10
Vardas138           Pavarde138          9         5         8         3         7         1
Vardas139           Pavarde139          2         4         7         2         0         3
Vardas140           Pavarde140          7         6         1         10        1         10
Vardas141           Pavarde141          2         2         7         9         10        1
Vardas142           Pavarde142          2         10        5         2         5         4
Vardas143           Pavarde143          1         6         2         8         4         6
Vardas144           Pavarde144          3         1         4         1         2         1
Vardas145           Pavarde145          3         2         7         4         7         2
Vardas146           Pavarde146          5         1         9         9         7         7
Vardas147           Pavarde147          5         4         8         6         8         5
Vardas148           Pavarde148          1         10        5         8         7         2
Vardas149           Pavarde149          3         10        10        9         7         8
Vardas150           Pavarde150          10        2         0         10        5         5
Vardas151           Pavarde151          2         5         0         4         8         1
Vardas152           Pavarde152          2         2         5         3         8         6
Vardas153           Pavarde153          6         7         3         9         3         8
Vardas154           Pavarde154          0         9         2         5         9         2
Vardas155           Pavarde155          10        1         4         6         2         10
Vardas156           Pavarde156          3         4         2         8         4         4
Vardas157           Pavarde157          6         10        3         4         9         0
Vardas158           Pavarde158          4         10        0         6         10        0
Vardas159           Pavarde159          0         5         9         5         0         4
Vardas160           Pavarde160          8         8         0         0         10        4
Vardas161           Pavarde161          1         10        0         1         9         6
Vardas162           Pavarde162          7         3         8         6         0         1
Vardas163           Pavarde163          3         0         4         10        3         3
Vardas164           Pavarde164          8         2         7         3         5         5
Vardas165           Pavarde165          9         1         9         7         6         7
Vardas166           Pavarde166          7         3         2         2         1         8
Vardas167           Pavarde167          9         2         4         2         8         4
Vardas168           Pavarde168          2         1         1         2         7         5
Vardas169           Pavarde169          10        6         8         0         6         10
Vardas170           Pavarde170          9         9         0         4         4         3
Vardas171           Pavarde171          4         6         3         10        7         6
Vardas172           Pavarde172          10        4         7         7         8         9
Vardas173           Pavarde173          1         0         4         4         8         1
Vardas174           Pavarde174          7         4         4         7         6         0
Vardas175           Pavarde175          1         0         2         6         6         10
Vardas176           Pavarde176          7         1         8         7         3         3
Vardas177           Pavarde177          8         0         8         0         0         2
Vardas178           Pavarde178          7         3         10        10        1         6
Vardas179           Pavarde179          8         0         2         9         1         10
Vardas180           Pavarde180          7         5         5         10        0         10
Vardas181           Pavarde181          10        2         8         1         8         1
Vardas182           Pavarde182          6         1         10        8         8         6
Vardas183           Pavarde183          2         1         3         1         2         0
Vardas184           Pavarde184          0         0         4         6         2         7
Vardas185           Pavarde185          8         6         9         9         6         5
Vardas186           Pavarde186          1         4         9         2         8         4
Vardas187           Pavarde187          8         7         8         6         4         2
Vardas188           Pavarde188          0         7         8         3         9         5
Vardas189           Pavarde189          6         0         8         6         7         5
Vardas190           Pavarde190          2         1         4         6         1         0
Vardas191           Pavarde191          1         1         4         4         9         0
Vardas192           Pavarde192          0         4         5         0         0         6
Vardas193           Pavarde193          6         10        4         8         1         9
Vardas194           Pavarde194          4         5         0         2         2         8
Vardas195           Pavarde195          2         3         2         3         1         9
Vardas196           Pavarde196          2         9         4         3         6         3
Vardas197           Pavarde197          5         6         10        7         7         10
Vardas198           Pavarde198          9         10        7         8         8         5
Vardas199           Pavarde199          9         2         5         9         2         10
Vardas200           Pavarde200          3         7         4         4         5         5
Vardas201           Pavarde201          10        4         9         5         9         0
Vardas202           Pavarde202          5         6         7         8         0         3
Vardas203           Pavarde203          6         4         1         0         8         3
Vardas204           Pavarde204          8         1         8         5         1         4
Vardas205           Pavarde205          3         8         1         10        4         0
Vardas206           Pavarde206          1         3         9         3         6         2
Vardas207           Pavarde207          0         1         7         9         1         5
Vardas208           Pavarde208          3         2         9         5         1         4
Vardas209           Pavarde209          8         1         6         2         7         8
Vardas210           Pavarde210          6         3         9         6         0         7
Vardas211           Pavarde211          5         2         3         10        1         4
Vardas212           Pavarde212          0         2         4         2         2         2
Vardas213           Pavarde213          8         10        4         9         8         7
Vardas214           Pavarde214          3         8         10        9         5         4
Vardas215           Pavarde215          5         1         0         1         1         9
Vardas216           Pavarde216          3         4         6         8         7         5
Vardas217           Pavarde217          6         0         5         4         9         2
Vardas218           Pavarde218          5         1         3         5         3         3
Vardas219           Pavarde219          6         1         4         6         1         0
Vardas220           Pavarde220          8         3         0         9         0         5
Vardas221           Pavarde221          9         6         3         7         9         1
Vardas222           Pavarde222          8         8         8         3         1         0
Vardas223           Pavarde223          9         6         9         7         8         0
Vardas224           Pavarde224          9         3         3         5         7         10
Vardas225           Pavarde225          2         4         1         5         3         10
Vardas226           Pavarde226          3         8         3         1         7         2
Vardas227           Pavarde227          6         1         2         0         3         2
Vardas228           Pavarde228          2         0         2         5         2         0
Vardas229           Pavarde229          2         6         10        5         10        10
Vardas230           Pavarde230          5         10        6         9         3         6
Vardas231           Pavarde231          1         5         9         0         6         10
Vardas232           Pavarde232          9         7         10        7         9         8
Vardas233           Pavarde233          2         7         6         10        10        6
Vardas234           Pavarde234          1         3         7         8         10        3
Vardas235           Pavarde235          2         8         1         1         9         10
Vardas236           Pavarde236          10        10        1         9         4         10
Vardas237           Pavarde237          1         4         1         2         8         7
Vardas238           Pavarde238          7         9         1         1         5         9
Vardas239           Pavarde239          3         0         4         10        7         1
Vardas240           Pavarde240          6         0         4         10        0         4
Vardas241           Pavarde241          1         6         1         8         2         10
Vardas242           Pavarde242          9         2         5         7         0         7
Vardas243           Pavarde243          8         2         0         2         5         7
Vardas244           Pavarde244          0         7         5         4         10        1
Vardas245           Pavarde245          5         1         4         7         3         10
Vardas246           Pavarde246          4         6         8         2         10        8
Vardas247           Pavarde247          7         2         4         9         4         3
Vardas248           Pavarde248          8         3         7         5         2         8
Vardas249           Pavarde249          3         8         2         4         5         8
Vardas250           Pavarde250          7         1         7         1         6         8
Vardas251           Pavarde251          8         3         2         4         9         10
Vardas252           Pavarde252          3         4         5         0         10        0
Vardas253           Pavarde253          1         5         0         0         1         6
Vardas254           Pavarde254          1         4         8         2         10        8
Vardas255           Pavarde255          2         7         5         10        4         2
Vardas256           Pavarde256          5         2         7         5         5         3
Vardas257           Pavarde257          10        7         7         2         9         8
Vardas258           Pavarde258          0         9         5         6         8         3
Vardas259           Pavarde259          4         6         6         4         6         6
Vardas260           Pavarde260          5         5         0         10        6         9
Vardas261           Pavarde261          5         7         2         0         2         5
Vardas262           Pavarde262          9         10        0         0         0         6
Vardas263           Pavarde263          10        6         0         0         8         9
Vardas264           Pavarde264          10        1         4         2         5         6
Vardas265           Pavarde265          6         8         4         0         2         10
Vardas266           Pavarde266          9         2         2         6         5         5
Vardas267           Pavarde267          8         2         3         8         9         6
Vardas268           Pavarde268          1         10        0         5         6         10
Vardas269           Pavarde269          6         2         1         3         7         1
Vardas270           Pavarde270          5         7         7         6         4         3
Vardas271           Pavarde271          4         7         9         3         7         2
Vardas272           Pavarde272          3         4         3         2         6         7
Vardas273           Pavarde273          9         0         4         7         0         6
Vardas274           Pavarde274          9         1         7         1         5         1
Vardas275           Pavarde275          2         5         9         7         4         3
Vardas276           Pavarde276          5         1         8         10        3         10
Vardas277           Pavarde277          10        5         0         3         6         7
Vardas278           Pavarde278          4         4         9         8         8         6
Vardas279           Pavarde279          2         3         9         4         5         1
Vardas280           Pavarde280          10        3         3         0         8         0
Vardas281           Pavarde281          7         3         3         8         2         9
Vardas282           Pavarde282          6         7         10        10        4         3
Vardas283           Pavarde283          5         7         2         6         5         9
Vardas284           Pavarde284          9         0         1         1         8         0
Vardas285           Pavarde285          10        2         8         10        6         4
Vardas286           Pavarde286          5         1         8         2         1         7
Vardas287           Pavarde287          3         5         0         5         8         7
Vardas288           Pavarde288          6         8         5         9         3         7
Vardas289           Pavarde289          9         5         4         8         7         10
Vardas290           Pavarde290          5         1         1         4         1         8
Vardas291           Pavarde291          10        6         6         9         2         4
Vardas292           Pavarde292          7         4         4         7         2         5
Vardas293           Pavarde293          9         1         3         5         2         7
Vardas294           Pavarde294          2         3         4         6         0         6
Vardas295           Pavarde295          0         9         10        3         3         9
Vardas296           Pavarde296          10        7         6         3         2         4
Vardas297           Pavarde297          8         10        1         7         2         1
Vardas298           Pavarde298          0         8         10        3         0         6
Vardas299           Pavarde299          9         4         2         10        8         5
Vardas300           Pavarde300          8         7         8         2         4         8
Vardas301           Pavarde301          10        1         8         8         1         0
Vardas302           Pavarde302          2         0         8         10        0         1
Vardas303           Pavarde303          3         10        7         8         10        6
Vardas304           Pavarde304          7         1         4         2         6         3
Vardas305           Pavarde305          3         0         4         10        1         2
Vardas306           Pavarde306          4         9         3         2         6         6
Vardas307           Pavarde307          0         4         10        9         7         0
Vardas308           Pavarde308          9         0         10        10        3         6
Vardas309           Pavarde309          2         3         1         10        8         5
Vardas310           Pavarde310          3         7         3         3         3         2
Vardas311           Pavarde311          4         5         10        0         7         4
Vardas312           Pavarde312          6         9         1         1         4         7
Vardas313           Pavarde313          8         4         3         7         1         7
Vardas314           Pavarde314          1         9         4         2         1         1
Vardas315           Pavarde315          3         1         5         9         6         10
Vardas316           Pavarde316          6         5         7         4         8         4
Vardas317           Pavarde317          8         7         9         5         3         10
Vardas318           Pavarde318          1         1         8         7         3         9
Vardas319           Pavarde319          9         2         4         2         1         3
Vardas320           Pavarde320          9         7         7         8         1         10
Vardas321           Pavarde321          0         10        5         4         1         5
Vardas322           Pavarde322          9         3         9         6         0         3
Vardas323           Pavarde323          8         2         3         8         8         7
Vardas324           Pavarde324          4         3         9         7         0         10
Vardas325           Pavarde325          2         2         5         0         0         6
Vardas326           Pavarde326          5         10        2         1         5         4
Vardas327           Pavarde327          3         1         10        2         0         6
Vardas328           Pavarde328          5         1         6         7         7         6
Vardas329           Pavarde329          10        1         1         1         3         1
Vardas330           Pavarde330          8         6         3         9         8         7
Vardas331           Pavarde331          2         3         5         0         0         8
Vardas332           Pavarde332          3         8         8         5         9         8
Vardas333           Pavarde333          8         3         9         10        7         5
Vardas334           Pavarde334          10        5         1         4         5         4
Vardas335           Pavarde335          9         8         7         7         2         9
Vardas336           Pavarde336          8         9         6         6         5         1
Vardas337           Pavarde337          5         9         4         7         0         10
Vardas338           Pavarde338          5         0         1         9         10        10
Vardas339           Pavarde339          4         10        3         0         7         6
Vardas340           Pavarde340          4         1         3         0         6         4
Vardas341           Pavarde341          4         2         5         4         4         2
Vardas342           Pavarde342          5         0         4         9         9         2
Vardas343           Pavarde343          0         9         4         10        9         10
Vardas344           Pavarde344          1         6         9         5         10        0
Vardas345           Pavarde345          6         6         10        9         1         7
Vardas346           Pavarde346          10        10        5         3         3         5
Vardas347           Pavarde347          3         2         5         4         3         10
Vardas348           Pavarde348          6         3         7         8         8         10
Vardas349           Pavarde349          0         2         7         8         10        10
Vardas350           Pavarde350          7         3         2         0         2         1
Vardas351           Pavarde351          4         5         5         6         10        0
Vardas352           Pavarde352          6         6         8         6         6         7
Vardas353           Pavarde353          1         7         5         0         0         0
Vardas354           Pavarde354          4         5         9         8         8         0
Vardas355           Pavarde355          9         4         9         10        2         6
Vardas356           Pavarde356          3         0         8         7         9         5
Vardas357           Pavarde357          7         7         6         1         4         1
Vardas358           Pavarde358          1         9         1         3         9         7
Vardas359           Pavarde359          4         4         4         8         9         5
Vardas360           Pavarde360          2         0         6         4         10        7
Vardas361           Pavarde361          3         2         8         6         7         8
Vardas362           Pavarde362          8         2         5         10        0         3
Vardas363           Pavarde363          2         8         8         5         2         2
Vardas364           Pavarde364          9         4         0         3         9         6
Vardas365           Pavarde365          5         8         8         4         2         6
Vardas366           Pavarde366          8         7         0         3         2         7
Vardas367           Pavarde367          9         2         8         7         4         0
Vardas368           Pavarde368          1         4         2         3         2         1
Vardas369           Pavarde369          0         8         7         6         5         4
Vardas370           Pavarde370          8         8         6         1         10        4
Vardas371           Pavarde371          9         7         4         10        3         2
Vardas372           Pavarde372          5         9         4         5         7         6
Vardas373           Pavarde373          10        8         4         10        8         4
Vardas374           Pavarde374          6         9         8         9         1         7
Vardas375           Pavarde375          2         5         9         1         8         5
Vardas376           Pavarde376          9         3         8         7         0         0
Vardas377           Pavarde377          2         9         5         7         5         10
Vardas378           Pavarde378          2         2         7         1         8         3
Vardas379           Pavarde379          2         7         3         0         6         3
Vardas380           Pavarde380          0         3         4         9         4         9
Vardas381           Pavarde381          2         5         2         5         5         3
Vardas382           Pavarde382          7         10        6         6         2         8
Vardas383           Pavarde383          4         6         7         6         4         4
Vardas384           Pavarde384          9         4         6         7         10        6
Vardas385           Pavarde385          10        0         10        2         6         8
Vardas386           Pavarde386          3         8         8         6         7         9
Vardas387           Pavarde387          10        10        10        8         4         10
Vardas388           Pavarde388          10        6         7         8         0         5
Vardas389           Pavarde389          3         7         7         1         4         8
Vardas390           Pavarde390          7         7         8         2         5         7
Vardas391           Pavarde391          8         4         6         3         8         2
Vardas392           Pavarde392          4         7         8         6         7         4
Vardas393           Pavarde393          9         4         0         6         5         4
Vardas394           Pavarde394          2         7         3         6         7         0
Vardas395           Pavarde395          8         0         10        7         8         2
Vardas396           Pavarde396          4         8         7         9         1         3
Vardas397           Pavarde397          10        6         3         5         7         2
Vardas398           Pavarde398          6         2         9         2         4         5
Vardas399           Pavarde399          7         3         4         2         5         2
Vardas400           Pavarde400          7         1         6         9         1         0
Vardas401           Pavarde401          10        7         6         10        2         7
Vardas402           Pavarde402          1         8         2         1         1         4
Vardas403           Pavarde403          9         10        6         6         8         2
Vardas404           Pavarde404          7         0         8         3         0         6
Vardas405           Pavarde405          1         9         0         2         1         3
Vardas406           Pavarde406          4         1         9         1         6         2
Vardas407           Pavarde407          2         0         1         7         1         8
Vardas408           Pavarde408          3         8         4         5         3         5
Vardas409           Pavarde409          4         6         5         6         3         6
Vardas410           Pavarde410          9         4         8         3         9         1
Vardas411           Pavarde411          10        1         4         6         0         1
Vardas412           Pavarde412          1         0         9         3         1         8
Vardas413           Pavarde413          4         1         10        1         1         0
Vardas414           Pavarde414          8         7         3         1         1         10
Vardas415           Pavarde415          9         9         9         7         0         3
Vardas416           Pavarde416          10        5         2         9         1         5
Vardas417           Pavarde417          8         10        10        5         4         5
Vardas418           Pavarde418          0         1         0         8         6         4
Vardas419           Pavarde419          9         2         4         1         7         0
Vardas420           Pavarde420          7         1         0         4         5         2
Vardas421           Pavarde421          5         1         3         5         0         0
Vardas422           Pavarde422          9         8         9         9         6         4
Vardas423           Pavarde423          3         4         0         9         5         1
Vardas424           Pavarde424          3         8         1         7         2         1
Vardas425           Pavarde425          6         6         8         4         4         2
Vardas426           Pavarde426          10        1         4         6         2         8
Vardas427           Pavarde427          7         3         5         9         9         3
Vardas428           Pavarde428          8         4         9         6         0         3
Vardas429           Pavarde429          4         7         0         10        1         1
Vardas430           Pavarde430          10        6         9         8         5         9
Vardas431           Pavarde431          7         0         5         4         6         10
Vardas432           Pavarde432          6         1         7         0         2         2
Vardas433           Pavarde433          5         2         6         2         4         7
Vardas434           Pavarde434          8         9         0         0         0         0
Vardas435           Pavarde435          5         6         5         1         10        10
Vardas436           Pavarde436          9         4         4         7         5         9
Vardas437           Pavarde437          10        6         8         10        8         3
Vardas438           Pavarde438          2         9         7         2         2         6
Vardas439           Pavarde439          6         6         8         1         3         1
Vardas440           Pavarde440          8         6         8         10        2         0
Vardas441           Pavarde441          10        6         9         3         1         10
Vardas442           Pavarde442          6         7         8         6         7         1
Vardas443           Pavarde443          9         8         9         3         4         4
Vardas444           Pavarde444          6         5         5         5         9         5
Vardas445           Pavarde445          0         10        9         10        4         4
Vardas446           Pavarde446          7         6         10        8         7         0
Vardas447           Pavarde447          9         5         3         0         2         0
Vardas448           Pavarde448          3         7         1         8         10        3
Vardas449           Pavarde449          6         8         10        5         6         7
Vardas450           Pavarde450          4         1         3         2         6         9
Vardas451           Pavarde451          4         1         3         4         10        2
Vardas452           Pavarde452          7         3         8         8         9         5
Vardas453           Pavarde453          1         5         8         1         4         4
Vardas454           Pavarde454          4         4         5         4         7         5
Vardas455           Pavarde455          5         7         3         2         10        4
Vardas456           Pavarde456          9         4         6         5         8         6
Vardas457           Pavarde457          0         8         5         6         7         8
Vardas458           Pavarde458          0         1         7         9         8         2
Vardas459           Pavarde459          0         5         8         4         10        1
Vardas460           Pavarde460          0         9         1         2         9         0
Vardas461           Pavarde461          4         10        9         0         0         0
Vardas462           Pavarde462          6         2         9         8         10        5
Vardas463           Pavarde463          7         2         1         4         10        6
Vardas464           Pavarde464          1         9         2         5         4         1
Vardas465           Pavarde465          9         0         8         4         4         10
Vardas466           Pavarde466          9         4         5         5         7         6
Vardas467           Pavarde467          5         3         0         9         10        3
Vardas468           Pavarde468          2         0         9         9         1         1
Vardas469           Pavarde469          6         7         7         4         3         6
Vardas470           Pavarde470          9         7         8         4         9         3
Vardas471           Pavarde471          9         7         5         4         8         3
Vardas472           Pavarde472          0         5         6         10        10        8
Vardas473           Pavarde473          9         3         7         10        9         3
Vardas474           Pavarde474          10        2         6         5         4         8
Vardas475           Pavarde475          4         4         8         3         2         10
Vardas476           Pavarde476          10        3         6         0         0         0
Vardas477           Pavarde477          1         2         4         10        4         6
Vardas478           Pavarde478          7         8         2         1         8         4
Vardas479           Pavarde479          9         5         10        10        0         8
Vardas480           Pavarde480          6         10        4         5         9         9
Vardas481           Pavarde481          2         3         3         7         7         4
Vardas482           Pavarde482          5         7         3         1         3         1
Vardas483           Pavarde483          5         7         9         4         7         7
Vardas484           Pavarde484          6         8         7         3         10        1
Vardas485           Pavarde485          5         10        2         5         4         5
Vardas486           Pavarde486          1         6         1         7         3         1
Vardas487           Pavarde487          10        3         7         0         7         4
Vardas488           Pavarde488          5         10        7         3         4         1
Vardas489           Pavarde489          7         2         4         6         3         4
Vardas490           Pavarde490          10        2         8         4         3         4
Vardas491           Pavarde491          9         2         4         10        0         5
Vardas492           Pavarde492          0         8         6         2         3         4
Vardas493           Pavarde493          1         6         0         7         8         10
Vardas494           Pavarde494          8         3         5         2         2         7
Vardas495           Pavarde495          6         4         4         4         5         9
Vardas496           Pavarde496          9         10        1         10        4         2
Vardas497           Pavarde497          3         1         6         8         10        4
Vardas498           Pavarde498          7         8         0         3         8         0
Vardas499           Pavarde499          6         0         10        6         9         2
Vardas500           Pavarde500          5         1         7         5         6         1
Vardas501           Pavarde501          8         10        7         7         2         8
Vardas502           Pavarde502          0         1         9         10        3         9
Vardas503           Pavarde503          2         10        9         8         1         6
Vardas504           Pavarde504          0         8         2         5         7         10
Vardas505           Pavarde505          3         4         3         1         8         8
Vardas506           Pavarde506          3         9         5         8         0         5
Vardas507           Pavarde507          2         7         8         1         0         1
Vardas508           Pavarde508          8         9         0         3         0         6
Vardas509           Pavarde509          2         0         8         0         0         0
Vardas510           Pavarde510          4         1         2         9         9         2
Vardas511           Pavarde511          2         2         8         3         2         5
Vardas512           Pavarde512          9         3         4         10        3         7
Vardas513           Pavarde513          9         4         0         7         3         7
Vardas514           Pavarde514          5         4         10        9         8         9
Vardas515           Pavarde515          10        1         0         9         6         8
Vardas516           Pavarde516          9         0         7         7         10        2
Vardas517           Pavarde517          4         2         8         10        7         0
Vardas518           Pavarde518          2         9         7         4         7         6
Vardas519           Pavarde519          5         10        5         8         5         5
Vardas520           Pavarde520          9         5         6         2         5         3
Vardas521           Pavarde521          2         8         6         7         7         3
Vardas522           Pavarde522          9         6         4         9         0         8
Vardas523           Pavarde523          10        2         2         7         3         0
Vardas524           Pavarde524          4         6         0         6         0         5
Vardas525           Pavarde525          3         4         10        4         8         10
Vardas526           Pavarde526          10        5         7         3         8         6
Vardas527           Pavarde527          4         4         4         3         0         9
Vardas528           Pavarde528          7         1         0         0         3         5
Vardas529           Pavarde529          0         4         4         2         5         3
Vardas530           Pavarde530          9         8         0         3         9         9
Vardas531           Pavarde531          9         7         2         3         6         6
Vardas532           Pavarde532          1         9         10        4         5         9
Vardas533           Pavarde533          3         8         0         0         9         8
Vardas534           Pavarde534          8         8         6         9         1         0
Vardas535           Pavarde535          6         8         0         0         2         1
Vardas536           Pavarde536          5         0         7         5         8         0
Vardas537           Pavarde537          3         7         10        7         4         8
Vardas538           Pavarde538          4         3         6         4         2         2
Vardas539           Pavarde539          2         5         8         0         2         7
Vardas540           Pavarde540          8         10        9         3         6         6
Vardas541           Pavarde541          10        6         2         3         9         9
Vardas542           Pavarde542          7         2         7         1         3         2
Vardas543           Pavarde543          6         10        4         7         0         9
Vardas544           Pavarde544          0         0         4         1         5         5
Vardas545           Pavarde545          3         8         8         2         2         1
Vardas546           Pavarde546          2         5         4         1         7         1
Vardas547           Pavarde547          8         5         3         8         10        7
Vardas548           Pavarde548          1         4         2         6         0         2
Vardas549           Pavarde549          7         5         5         7         2         2
Vardas550           Pavarde550          1         9         0         4         9         3
Vardas551           Pavarde551          6         10        7         0         5         1
Vardas552           Pavarde552          8         4         6         1         4         0
Vardas553           Pavarde553          5         9         10        8         2         1
Vardas554           Pavarde554          6         6         6         2         5         4
Vardas555           Pavarde555          0         10        8         5         5         4
Vardas556           Pavarde556          9         8         5         3         1         3
Vardas557           Pavarde557          5         6         0         2         0         8
