Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas225           Pavarde225          6         6         3         0         10        7
Vardas226           Pavarde226          0         9         2         8         7         5
Vardas227           Pavarde227          4         6         3         10        6         9
Vardas228           Pavarde228          0         1         8         5         8         10
Vardas229           Pavarde229          4         2         1         6         10        5
Vardas230           Pavarde230          3         10        0         7         4         6
Vardas231           Pavarde231          1         9         3         0         10        4
Vardas232           Pavarde232          4         8         8         1         9         7
Vardas233           Pavarde233          7         2         10        2         10        1
Vardas234           Pavarde234          1         4         6         7         8         5
Vardas235           Pavarde235          2         5         9         10        10        4
Vardas236           Pavarde236          3         0         5         0         1         9
Vardas237           Pavarde237          4         10        2         0         8         0
Vardas238           Pavarde238          4         3         1         8         6         7
Vardas239           Pavarde239          8         9         4         8         1         3
Vardas240           Pavarde240          4         1         4         4         2         2
Vardas241           Pavarde241          4         5         0         9         2         10
Vardas242           Pavarde242          3         1         3         6         9         5
Vardas243           Pavarde243          5         0         1         7         2         5
Vardas244           Pavarde244          3         8         4         10        3         8
Vardas245           Pavarde245          7         2         6         2         9         1
Vardas246           Pavarde246          7         0         8         6         7         5
Vardas247           Pavarde247          4         9         1         5         7         2
Vardas248           Pavarde248          10        1         8         9         4         2
Vardas249           Pavarde249          4         6         8         6         6         7
Vardas250           Pavarde250          1         9         6         7         2         6
Vardas251           Pavarde251          1         2         6         8         1         2
Vardas252           Pavarde252          0         1         7         6         2         2
Vardas253           Pavarde253          3         1         8         8         5         3
Vardas254           Pavarde254          8         4         8         1         9         3
Vardas255           Pavarde255          2         8         6         6         2         6
Vardas256           Pavarde256          4         3         8         10        2         3
Vardas257           Pavarde257          4         5         5         6         9         3
Vardas258           Pavarde258          10        10        1         9         2         5
Vardas259           Pavarde259          4         6         10        6         4         3
Vardas260           Pavarde260          2         5         8         5         7         10
Vardas261           Pavarde261          0         4         8         3         0         8
Vardas262           Pavarde262          2         5         4         0         4         9
Vardas263           Pavarde263          3         10        0         6         8         3
Vardas264           Pavarde264          6         8         9         4         1         7
Vardas265           Pavarde265          2         3         1         5         9         4
Vardas266           Pavarde266          3         4         10        5         0         3
Vardas267           Pavarde267          7         8         9         7         8         1
Vardas268           Pavarde268          7         2         1         2         9         10
Vardas269           Pavarde269          2         7         7         0         9         3
Vardas270           Pavarde270          2         7         6         7         5         0
Vardas271           Pavarde271          2         3         4         3         8         1
Vardas272           Pavarde272          5         3         8         7         3         1
Vardas273           Pavarde273          7         4         1         6         0         3
Vardas274           Pavarde274          5         9         2         2         9         9
Vardas275           Pavarde275          10        7         7         0         8         7
Vardas276           Pavarde276          10        9         8         3         10        9
Vardas277           Pavarde277          9         0         2         7         9         9
Vardas278           Pavarde278          2         9         5         10        5         2
Vardas279           Pavarde279          7         9         7         9         3         1
Vardas280           Pavarde280          0         8         1         2         7         7
Vardas281           Pavarde281          8         8         7         8         9         2
Vardas282           Pavarde282          9         7         8         10        3         10
Vardas283           Pavarde283          4         6         9         1         5         0
Vardas284           Pavarde284          10        5         5         9         6         1
Vardas285           Pavarde285          10        1         0         2         5         3
Vardas286           Pavarde286          1         9         2         9         2         0
Vardas287           Pavarde287          9         0         7         5         2         6
Vardas288           Pavarde288          0         10        6         0         0         6
Vardas289           Pavarde289          5         2         1         8         2         1
Vardas290           Pavarde290          9         8         2         7         0         3
Vardas291           Pavarde291          6         6         1         8         9         0
Vardas292           Pavarde292          8         0         8         3         3         0
Vardas293           Pavarde293          2         10        6         0         0         7
Vardas294           Pavarde294          5         0         4         2         2         5
Vardas295           Pavarde295          0         5         1         9         1         4
Vardas296           Pavarde296          9         10        0         1         1         0
Vardas297           Pavarde297          9         3         4         9         1         7
Vardas298           Pavarde298          3         6         5         8         0         5
Vardas299           Pavarde299          10        0         4         9         5         4
Vardas300           Pavarde300          9         3         10        0         5         6
Vardas301           Pavarde301          0         5         0         0         7         1
Vardas302           Pavarde302          10        5         3         10        3         9
Vardas303           Pavarde303          5         6         10        3         9         3
Vardas304           Pavarde304          9         6         7         9         2         0
Vardas305           Pavarde305          1         0         4         6         8         1
Vardas306           Pavarde306          0         5         9         3         9         5
Vardas307           Pavarde307          7         8         6         10        5         6
Vardas308           Pavarde308          8         8         6         10        1         2
Vardas309           Pavarde309          10        1         1         10        2         4
Vardas310           Pavarde310          6         6         0         3         5         9
Vardas311           Pavarde311          0         5         8         1         2         0
Vardas312           Pavarde312          8         3         7         3         10        5
Vardas313           Pavarde313          1         10        9         2         10        6
Vardas314           Pavarde314          1         2         3         9         1         3
Vardas315           Pavarde315          7         8         9         6         6         3
Vardas316           Pavarde316          8         6         5         10        10        3
Vardas317           Pavarde317          5         7         0         6         9         2
Vardas318           Pavarde318          8         5         5         7         5         0
Vardas319           Pavarde319          0         5         5         9         9         0
Vardas320           Pavarde320          0         0         10        6         8         8
Vardas321           Pavarde321          8         9         7         1         4         4
Vardas322           Pavarde322          10        4         2         0         5         2
Vardas323           Pavarde323          9         2         6         0         5         4
Vardas324           Pavarde324          5         2         6         7         5         2
Vardas325           Pavarde325          6         5         7         7         10        4
Vardas326           Pavarde326          0         9         10        2         3         2
Vardas327           Pavarde327          0         10        10        3         8         2
Vardas328           Pavarde328          1         1         3         4         0         0
Vardas329           Pavarde329          3         1         2         0         10        6
Vardas330           Pavarde330          6         7         8         7         5         9
Vardas331           Pavarde331          8         3         0         8         7         7
Vardas332           Pavarde332          8         8         0         10        8         9
Vardas333           Pavarde333          10        4         7         8         1         9
Vardas334           Pavarde334          3         0         7         6         9         0
Vardas335           Pavarde335          6         3         8         9         7         1
Vardas336           Pavarde336          4         4         1         10        8         4
Vardas337           Pavarde337          8         6         2         6         1         3
Vardas338           Pavarde338          10        2         8         8         7         0
Vardas339           Pavarde339          4         7         2         5         7         7
Vardas340           Pavarde340          5         2         1         1         2         3
Vardas341           Pavarde341          7         7         0         5         3         3
Vardas342           Pavarde342          8         4         9         2         2         9
Vardas343           Pavarde343          4         1         10        7         6         3
Vardas344           Pavarde344          4         0         1         2         8         9
Vardas345           Pavarde345          10        2         1         8         2         0
Vardas346           Pavarde346          8         4         8         10        2         0
Vardas347           Pavarde347          4         1         9         0         4         3
Vardas348           Pavarde348          10        2         9         10        0         9
Vardas349           Pavarde349          9         1         6         10        1         1
Vardas350           Pavarde350          9         10        1         8         5         7
Vardas351           Pavarde351          8         2         10        8         10        0
Vardas352           Pavarde352          1         0         2         2         4         0
Vardas353           Pavarde353          0         2         4         10        7         6
Vardas354           Pavarde354          5         3         4         2         7         4
Vardas355           Pavarde355          5         7         0         10        4         1
Vardas356           Pavarde356          4         3         2         7         7         7
Vardas357           Pavarde357          6         7         6         1         9         8
Vardas358           Pavarde358          10        2         1         9         6         7
Vardas359           Pavarde359          8         5         0         0         9         5
Vardas360           Pavarde360          1         7         9         5         0         5
Vardas361           Pavarde361          1         5         4         7         0         0
Vardas362           Pavarde362          5         8         10        1         8         5
Vardas363           Pavarde363          4         1         5         9         5         8
Vardas364           Pavarde364          9         2         9         1         3         1
Vardas365           Pavarde365          4         10        3         7         7         1
Vardas366           Pavarde366          6         10        0         1         6         4
Vardas367           Pavarde367          5         3         9         10        3         6
Vardas368           Pavarde368          9         4         10        4         9         0
Vardas369           Pavarde369          3         0         2         2         9         7
Vardas370           Pavarde370          5         7         1         4         9         5
Vardas371           Pavarde371          9         10        9         8         10        7
Vardas372           Pavarde372          6         2         6         1         9         4
Vardas373           Pavarde373          1         10        5         7         9         9
Vardas374           Pavarde374          0         6         3         0         0         3
Vardas375           Pavarde375          4         4         1         3         4         0
Vardas376           Pavarde376          1         4         6         4         6         1
Vardas377           Pavarde377          5         10        9         10        1         8
Vardas378           Pavarde378          6         6         1         1         10        2
Vardas379           Pavarde379          2         9         7         7         2         9
Vardas380           Pavarde380          3         1         0         10        1         1
Vardas381           Pavarde381          3         9         4         2         5         6
Vardas382           Pavarde382          6         6         1         3         5         1
Vardas383           Pavarde383          1         10        2         1         8         6
Vardas384           Pavarde384          6         0         6         6         9         6
Vardas385           Pavarde385          1         2         6         0         4         1
Vardas386           Pavarde386          8         10        5         7         5         1
Vardas387           Pavarde387          4         2         3         2         3         8
Vardas388           Pavarde388          1         10        6         10        9         8
Vardas389           Pavarde389          8         8         1         0         2         8
Vardas390           Pavarde390          5         9         9         10        1         10
Vardas391           Pavarde391          6         5         2         7         4         7
Vardas392           Pavarde392          8         8         10        3         6         7
Vardas393           Pavarde393          4         6         2         2         0         10
Vardas394           Pavarde394          3         2         9         0         6         3
Vardas395           Pavarde395          1         8         3         2         10        6
Vardas396           Pavarde396          1         3         4         2         10        0
Vardas397           Pavarde397          1         2         1         10        3         8
Vardas398           Pavarde398          3         3         1         10        0         6
Vardas399           Pavarde399          0         10        6         8         0         4
Vardas400           Pavarde400          2         3         10        4         9         2
Vardas401           Pavarde401          7         9         7         6         5         10
Vardas402           Pavarde402          9         8         1         5         9         4
Vardas403           Pavarde403          7         5         9         6         3         3
Vardas404           Pavarde404          2         7         1         3         8         6
Vardas405           Pavarde405          8         2         10        10        3         0
Vardas406           Pavarde406          2         9         4         5         5         5
Vardas407           Pavarde407          5         10        8         2         8         6
Vardas408           Pavarde408          4         8         4         4         2         3
Vardas409           Pavarde409          3         5         1         8         0         10
Vardas410           Pavarde410          7         10        4         4         8         7
Vardas411           Pavarde411          3         9         5         0         5         6
Vardas412           Pavarde412          10        4         3         8         9         10
Vardas413           Pavarde413          6         10        0         6         5         2
Vardas414           Pavarde414          7         5         9         3         7         8
Vardas415           Pavarde415          4         9         5         9         10        1
Vardas416           Pavarde416          6         10        10        0         9         9
Vardas417           Pavarde417          3         10        6         2         2         0
Vardas418           Pavarde418          1         9         8         2         8         0
Vardas419           Pavarde419          6         0         6         6         5         0
Vardas420           Pavarde420          4         4         0         8         1         0
Vardas421           Pavarde421          1         5         4         8         4         4
Vardas422           Pavarde422          10        3         4         1         4         8
Vardas423           Pavarde423          4         10        1         8         4         4
Vardas424           Pavarde424          10        1         4         5         3         0
Vardas425           Pavarde425          5         0         9         1         1         0
Vardas426           Pavarde426          6         7         10        3         2         10
Vardas427           Pavarde427          4         9         4         8         5         1
Vardas428           Pavarde428          10        0         1         8         0         7
Vardas429           Pavarde429          6         4         8         10        1         6
Vardas430           Pavarde430          10        10        1         2         8         8
Vardas431           Pavarde431          0         2         6         0         0         7
Vardas432           Pavarde432          2         6         5         0         0         9
Vardas433           Pavarde433          4         2         8         1         9         0
Vardas434           Pavarde434          0         4         7         4         5         9
Vardas435           Pavarde435          2         4         3         1         5         3
Vardas436           Pavarde436          8         6         0         4         5         3
Vardas437           Pavarde437          0         7         8         2         3         8
Vardas438           Pavarde438          5         6         9         8         2         1
Vardas439           Pavarde439          3         1         4         5         0         7
Vardas440           Pavarde440          7         4         2         3         6         5
Vardas441           Pavarde441          0         7         10        1         4         1
Vardas442           Pavarde442          3         3         6         8         8         4
Vardas443           Pavarde443          5         5         8         1         5         10
Vardas444           Pavarde444          3         3         6         3         2         6
Vardas445           Pavarde445          5         0         4         0         8         2
Vardas446           Pavarde446          4         9         0         1         4         6
Vardas447           Pavarde447          2         10        8         10        2         8
Vardas448           Pavarde448          6         2         5         3         8         3
Vardas449           Pavarde449          7         2         9         6         5         9
Vardas450           Pavarde450          4         0         3         3         10        1
Vardas451           Pavarde451          5         7         7         3         2         1
Vardas452           Pavarde452          9         0         7         6         4         5
Vardas453           Pavarde453          1         4         8         0         6         9
Vardas454           Pavarde454          3         9         7         5         1         0
Vardas455           Pavarde455          10        3         4         8         6         0
Vardas456           Pavarde456          0         10        1         6         3         4
Vardas457           Pavarde457          7         3         8         3         9         8
Vardas458           Pavarde458          9         3         4         7         9         7
Vardas459           Pavarde459          1         5         4         7         4         1
Vardas460           Pavarde460          3         4         1         6         3         10
Vardas461           Pavarde461          1         0         10        9         4         4
Vardas462           Pavarde462          0         1         6         8         0         1
Vardas463           Pavarde463          8         5         8         6         5         8
Vardas464           Pavarde464          8         2         5         3         9         6
Vardas465           Pavarde465          5         3         4         1         7         6
Vardas466           Pavarde466          7         4         3         4         3         5
Vardas467           Pavarde467          6         1         7         0         8         9
Vardas468           Pavarde468          2         3         8         7         0         10
Vardas469           Pavarde469          9         7         0         0         7         9
Vardas470           Pavarde470          7         1         4         4         7         0
Vardas471           Pavarde471          10        9         10        9         5         0
Vardas472           Pavarde472          6         0         3         9         3         4
Vardas473           Pavarde473          4         1         10        3         0         9
Vardas474           Pavarde474          0         4         8         10        0         5
Vardas475           Pavarde475          1         7         0         10        1         5
Vardas476           Pavarde476          5         3         9         7         6         3
Vardas477           Pavarde477          1         0         6         9         3         2
Vardas478           Pavarde478          3         7         4         10        6         6
Vardas479           Pavarde479          7         10        6         6         3         8
Vardas480           Pavarde480          6         1         9         9         1         2
Vardas481           Pavarde481          2         0         7         2         1         8
Vardas482           Pavarde482          8         6         4         7         8         10
Vardas483           Pavarde483          4         9         6         9         0         9
Vardas484           Pavarde484          4         5         7         0         3         2
Vardas485           Pavarde485          9         5         7         7         9         4
Vardas486           Pavarde486          8         9         7         9         2         10
Vardas487           Pavarde487          4         0         5         0         5         5
Vardas488           Pavarde488          7         3         1         1         4         6
